ad;🇦🇩 ;-30.000;40.000;20.000;-50.000;10.000
ae;🇦🇪 ;-60.000;-120.00;-10.000;-10.000;0.0000
af;🇦🇫 ;170.00;20.000;-10.000;0.0000;0.0000
ag;🇦🇬 ;-50.000;10.000;80.000;20.000;30.000
ai;🇦🇮 ;-60.000;-10.000;-40.000;10.000;0.0000
al;🇦🇱 ;-40.000;40.000;-10.000;30.000;-20.000
am;🇦🇲 ;-40.000;50.000;20.000;30.000;-20.000
ao;🇦🇴 ;-110.00;20.000;-80.000;-30.000;-10.000
aq;🇦🇶 ;50.000;-20.000;30.000;-40.000;30.000
ar;🇦🇷 ;120.00;-50.000;10.000;0.0000;0.0000
as;🇦🇸 ;-20.000;-40.000;40.000;-40.000;-40.000
at;🇦🇹 ;40.000;-100.00;20.000;0.0000;0.0000
au;🇦🇺 ;-70.000;10.000;-40.000;20.000;10.000
aw;🇦🇼 ;40.000;20.000;10.000;10.000;-10.000
ax;🇦🇽 ;-10.000;20.000;0.0000;10.000;-10.000
az;🇦🇿 ;0.0000;0.0000;0.0000;0.0000;0.0000
ba;🇧🇦 ;-60.000;20.000;-10.000;-30.000;0.0000
bb;🇧🇧 ;-60.000;40.000;10.000;-40.000;30.000
bd;🇧🇩 ;-90.000;0.0000;10.000;-10.000;10.000
be;🇧🇪 ;-50.000;30.000;40.000;-90.000;-20.000
bf;🇧🇫 ;-20.000;20.000;-20.000;0.0000;-10.000
bg;🇧🇬 ;60.000;60.000;-90.000;-30.000;0.0000
bh;🇧🇭 ;60.000;0.0000;-40.000;80.000;30.000
bi;🇧🇮 ;50.000;10.000;10.000;0.0000;10.000
bj;🇧🇯 ;-10.000;20.000;0.0000;-40.000;-40.000
bl;🇧🇱 ;160.00;10.000;0.0000;40.000;-30.000
bm;🇧🇲 ;0.0000;10.000;-30.000;10.000;-10.000
bn;🇧🇳 ;60.000;10.000;-40.000;-20.000;-10.000
bo;🇧🇴 ;-40.000;-30.000;-30.000;-20.000;0.0000
bq;🇧🇶 ;30.000;0.0000;-80.000;0.0000;60.000
br;🇧🇷 ;-70.000;0.0000;10.000;10.000;0.0000
bs;🇧🇸 ;-50.000;20.000;20.000;-40.000;-50.000
bt;🇧🇹 ;40.000;0.0000;-10.000;-10.000;10.000
bw;🇧🇼 ;60.000;60.000;-10.000;10.000;-20.000
by;🇧🇾 ;-50.000;10.000;-40.000;20.000;0.0000
bz;🇧🇿 ;-60.000;10.000;10.000;-20.000;20.000
ca;🇨🇦 ;60.000;50.000;0.0000;-20.000;20.000
cc;🇨🇨 ;-90.000;10.000;-20.000;10.000;0.0000
cd;🇨🇩 ;0.0000;10.000;-10.000;10.000;-10.000
cf;🇨🇫 ;20.000;-10.000;10.000;20.000;-20.000
cg;🇨🇬 ;0.0000;10.000;30.000;-20.000;-20.000
ch;🇨🇭 ;0.0000;-10.000;30.000;-20.000;30.000
ci;🇨🇮 ;40.000;30.000;30.000;-60.000;70.000
ck;🇨🇰 ;-60.000;10.000;-40.000;10.000;10.000
cl;🇨🇱 ;50.000;0.0000;-20.000;-80.000;-20.000
cm;🇨🇲 ;-10.000;30.000;10.000;-10.000;-60.000
cn;🇨🇳 ;0.0000;0.0000;0.0000;0.0000;0.0000
co;🇨🇴 ;0.0000;30.000;-50.000;-20.000;-10.000
cr;🇨🇷 ;30.000;30.000;0.0000;20.000;0.0000
cu;🇨🇺 ;0.0000;10.000;10.000;-10.000;-20.000
cv;🇨🇻 ;-50.000;-20.000;40.000;30.000;10.000
cw;🇨🇼 ;-80.000;10.000;10.000;30.000;-10.000
cx;🇨🇽 ;-70.000;10.000;-10.000;0.0000;-20.000
cy;🇨🇾 ;190.00;-10.000;0.0000;10.000;-10.000
cz;🇨🇿 ;40.000;20.000;-60.000;-90.000;-30.000
de;🇩🇪 ;-70.000;50.000;90.000;60.000;-20.000
dj;🇩🇯 ;70.000;-10.000;-60.000;20.000;40.000
dk;🇩🇰 ;20.000;-20.000;10.000;-10.000;30.000
dm;🇩🇲 ;-70.000;-10.000;10.000;0.0000;0.0000
do;🇩🇴 ;0.0000;-40.000;20.000;-30.000;30.000
dz;🇩🇿 ;50.000;0.0000;40.000;-70.000;-110.00
ec;🇪🇨 ;20.000;30.000;-40.000;-20.000;-10.000
ee;🇪🇪 ;30.000;150.00;50.000;50.000;-20.000
eg;🇪🇬 ;-40.000;-140.00;-50.000;-20.000;0.0000
eh;🇪🇭 ;-80.000;-100.00;60.000;0.0000;-20.000
er;🇪🇷 ;10.000;30.000;10.000;20.000;-10.000
es;🇪🇸 ;-10.000;0.0000;10.000;20.000;-10.000
et;🇪🇹 ;-40.000;-10.000;30.000;30.000;-10.000
fi;🇫🇮 ;100.00;90.000;-10.000;10.000;-40.000
fj;🇫🇯 ;70.000;20.000;10.000;10.000;0.0000
fk;🇫🇰 ;-60.000;0.0000;-40.000;10.000;0.0000
fm;🇫🇲 ;90.000;0.0000;0.0000;0.0000;10.000
fo;🇫🇴 ;130.00;50.000;-10.000;10.000;-30.000
fr;🇫🇷 ;20.000;20.000;50.000;-100.00;40.000
ga;🇬🇦 ;-10.000;-10.000;10.000;10.000;-10.000
gb;🇬🇧 ;20.000;0.0000;-10.000;20.000;-20.000
gd;🇬🇩 ;-10.000;50.000;0.0000;-10.000;10.000
ge;🇬🇪 ;130.00;50.000;-20.000;30.000;-30.000
gf;🇬🇫 ;-10.000;30.000;30.000;60.000;30.000
gg;🇬🇬 ;140.00;50.000;-20.000;20.000;-30.000
gh;🇬🇭 ;-40.000;-30.000;-30.000;0.0000;-10.000
gi;🇬🇮 ;90.000;-60.000;-90.000;10.000;-30.000
gl;🇬🇱 ;90.000;0.0000;-60.000;-30.000;0.0000
gm;🇬🇲 ;-30.000;-10.000;-20.000;10.000;-30.000
gn;🇬🇳 ;0.0000;40.000;10.000;-10.000;30.000
gp;🇬🇵 ;-120.00;40.000;-10.000;-30.000;20.000
gq;🇬🇶 ;0.0000;-80.000;50.000;10.000;-10.000
gr;🇬🇷 ;80.000;-20.000;10.000;0.0000;0.0000
gs;🇬🇸 ;-70.000;10.000;-40.000;10.000;10.000
gt;🇬🇹 ;80.000;40.000;30.000;-50.000;40.000
gu;🇬🇺 ;-80.000;10.000;0.0000;0.0000;0.0000
gw;🇬🇼 ;0.0000;30.000;-30.000;-20.000;-20.000
gy;🇬🇾 ;0.0000;10.000;10.000;-10.000;-10.000
hk;🇭🇰 ;10.000;-10.000;10.000;-10.000;10.000
hn;🇭🇳 ;60.000;-80.000;30.000;10.000;0.0000
hr;🇭🇷 ;0.0000;-110.00;-10.000;-10.000;0.0000
